Designator,Mid X,Mid Y,Rotation,Layer
C2,61.825,-78.95,180.0,bottom
C3,58.85,-78.95,0.0,bottom
C4,61.8,-74.525,180.0,bottom
C5,51.675,-95.75,0.0,bottom
C6,51.525,-90.825,0.0,bottom
C7,51.525,-89.35,0.0,bottom
D2,61.8375,-77.475,0.0,bottom
F1,59.525,-83.55,180.0,bottom
FB2,47.07,-81.125,180.0,bottom
J3,81.969417,-92.856802,315.0,bottom
R1,39.05,-76.725,90.0,bottom
R2,42.275,-76.75,90.0,bottom
R3,61.85,-76.0,0.0,bottom
R4,47.9,-76.45,270.0,bottom
R5,47.775,-92.15,0.0,bottom
R6,47.785,-90.67,180.0,bottom
SW1,31.14,-76.12,90.0,bottom
SW2,30.325,-83.4,270.0,bottom
SW3,55.275,-97.875,0.0,bottom
SW4,73.27,-97.875,0.0,bottom
SW5,91.295,-97.875,0.0,bottom
SW6,91.275,-80.875,0.0,bottom
SW7,73.27,-80.875,0.0,bottom
SW8,55.275,-80.875,0.0,bottom
U3,54.49,-75.39,90.0,bottom
U4,52.0875,-93.275,0.0,bottom
